0,58.437
1,56.671
2,54.363
3,54.911
4,66.733
5,60.698
6,49.533
7,54.506
8,53.183
9,45.9
10,43.79
11,55.312
12,57.099
13,51.111
14,46.383
15,48.613
16,53.956
17,55.753
18,62.889
19,66.447
20,51.782
21,47.899
22,47.432
23,47.835
24,53.752
25,63.657
26,61.672
27,52.603
28,58.672
29,68.24
30,65.406
31,60.343
32,55.827
33,52.221
34,61.364
35,63.175
36,54.455
37,50.252
38,47.724
39,45.364
40,53.007
41,60.274
42,55.535
43,49.654
44,52.174
45,62.383
46,71.315
47,86.969
48,104.453
49,78.147
50,-4.444
51,-35.543
52,-15.209
53,-9.638
54,-5.942
55,-1.839
56,2.02
57,7.915
58,2.456
59,-1.942
60,-2.058
61,-2.65
62,-0.56
63,5.554
64,6.321
65,5.517
66,1.466
67,-4.773
68,1.372
69,1.475
70,0.785
71,3.135
72,7.554
73,10.01
74,6.301
75,2.781
76,-1.743
77,0.58
78,-4.323
79,-7.026
80,-2.792
81,3.043
82,4.614
83,3.125
84,4.735
85,2.979
86,-2.201
87,-7.86
88,-0.11
89,5.897
90,9.946
91,12.421
92,9.979
93,-0.675
94,-2.037
95,4.428
96,0.507
97,3.233
98,3.537
99,0.035
100,3.482
101,-1.196
